title,mixed fandom,ships,characters,hits,kudos,published,Deku,Bakugo,Deku & Bakugo,Aizawa,Prez Mic,Aizawa & Prez Mic,Aizawa & Deku,Enjiro,Bakugo & Kirishima,Shoto,Deku & Shoto,Dabi,Hawks,Dabi & Hawks,Uraraka,Deku & Uraraka,All Might,Deku & All Might,Class,Deku & Class,Denki,Shinsou,Denki & Shinsou,Deku & Shinsou,Reader,Bakugo & Reader,Bakugo & Shoto,Deku & Prez Mic,Mina,Kirashima,Mina & Kirashima,Jirou,Jirou & Denki,Shigaraki Tomura,Deku & Shigaraki Tomura,Aizawa & Shinsou,Nedzu,Deku & Nedzu,Deku & Reader
Prince of the Seas,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Kaminari Denki/Shinsou Hitoshi', 'Bakugou Katsuki & Shinsou Hitoshi']","['Bakugou Katsuki', 'Shinsou Hitoshi', 'Kirishima Eijirou', 'Midoriya Izuku', 'Toga Himiko', 'Uraraka Ochako', 'Kaminari Denki', 'Ashido Mina', 'Utsushimi Camie']",217,13.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To be an Artist,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya/Reader', 'Shigaraki Tomura | Shimura Tenko/Reader']","['Dabi | Todoroki Touya', 'Shigaraki Tomura | Shimura Tenko']",630,48.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When Chaos Walks,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Class 1-A & Class 1-B (My Hero Academia)', 'Aizawa Shouta | Eraserhead & Class 1-A', 'Aizawa Shouta | Eraserhead & Kaminari Denki', 'Midoriya Izuku & Shouji Mezou', 'Kendou Itsuka & Midoriya Izuku', 'Midoriya Izuku/Uraraka Ochako', 'Jirou Kyouka/Kaminari Denki', 'Takami Keigo | Hawks & Tokoyami Fumikage', 'Asui Tsuyu/Tokoyami Fumikage']","['Nedzu (My Hero Academia)', 'Midoriya Izuku', 'Kaminari Denki', 'Bakugou Katsuki', 'Kendou Itsuka', 'Aizawa Shouta | Eraserhead', 'Shouji Mezou', 'Ashido Mina', 'Yagi Toshinori | All Might', 'Tokage Setsuna', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Tokoyami Fumikage', 'Takami Keigo | Hawks', 'Tsunotori Pony', 'Sero Hanta', 'Shiozaki Ibara', 'Rin Hiryuu', 'Asui Tsuyu', ""Asui Tsuyu's Family"", 'Uraraka Ochako', 'Kirishima Eijirou', 'Tetsutetsu Tetsutetsu', 'Jirou Kyouka', 'Yanagi Reiko', 'Kamakiri Togaru', 'Iida Tenya']",13297,419.0,2023-03-08,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Prison of Blood,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Toga Himiko/Uraraka Ochako'],"['Toga Himiko', 'Uraraka Ochako']",646,33.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Princess,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki & Midoriya Izuku']","['Bakugou Katsuki', 'Kirishima Eijirou', 'Kaminari Denki', 'Ashido Mina', 'Sero Hanta', 'Midoriya Izuku', 'Todoroki Shouto', 'Monoma Neito', 'Shinsou Hitoshi']",682,40.0,2023-03-08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good boy, Katsuki",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Todoroki Shouto'],"['Bakugou Katsuki', 'Todoroki Shouto']",2589,134.0,2023-03-08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
My Patchwork Prince,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya/Original Male Character(s)', 'Chisaki Kai | Overhaul/Dabi | Todoroki Touya']","['Dabi | Todoroki Touya', 'Shigaraki Tomura | Shimura Tenko', 'Original Male Character(s)', 'Toga Himiko', 'Bubaigawara Jin | Twice', 'Sako Atsuhiro | Mr. Compress', 'Iguchi Shuuichi | Spinner', 'Hikiishi Kenji | Magne', 'Kurogiri (My Hero Academia)', 'Okuta Kagerou | Giran', 'Sensei | All For One']",9061,301.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoraphobia,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku & Original Character(s)', 'Midoriya Inko & Midoriya Izuku']","['Midoriya Izuku', 'Yaoyorozu Momo', 'Class 1-A (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko', 'Chisaki Kai | Overhaul', 'Eri (My Hero Academia)']",148,12.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
league of parental issues,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Dabi | Todoroki Touya/Takami Keigo | Hawks', 'Todoroki Fuyumi/Usagiyama Rumi | Miruko', 'Dabi | Todoroki Touya & Todoroki Fuyumi & Todoroki Natsuo & Todoroki Shouto', 'Toga Himiko/Uraraka Ochako', 'Iguchi Shuuichi | Spinner/Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya & Sako Atsuhiro | Mr. Compress', 'Bubaigawara Jin & Dabi & Iguchi Shuuichi & Sako Atsuhiro & Shigaraki Tomura & Toga Himiko']","['Dabi | Todoroki Touya', 'Todoroki Fuyumi', 'Todoroki Natsuo', 'Todoroki Shouto', 'Toga Himiko', 'Shigaraki Tomura | Shimura Tenko', 'Iguchi Shuuichi | Spinner', 'Bubaigawara Jin | Twice', 'Sako Atsuhiro | Mr. Compress', 'Takami Keigo | Hawks']",546,44.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet in the Sky (Come Back to Us),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki & Todoroki Shouto', 'Bakugou Katsuki & Class 1-A', 'Bakugou Katsuki & Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead & Bakugou Katsuki', 'Hinted Bakugou Katsuki/Kirishima Eijirou']","['Midoriya Izuku', 'Bakugou Katsuki', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Past One For All Users (My Hero Academia)']",1085,101.0,2023-03-08,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
