title,mixed fandom,ships,characters,hits,kudos,published
Whoopsie (thy name be Daisy?),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Midoriya Izuku', 'Aizawa Shouta & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi', 'Shirakumo Oboro/Yamada Hizashi | Present Mic', 'Kaminari Denki/Shinsou Hitoshi', 'Midoriya Izuku & Shinsou Hitoshi']","['Class 1-A (My Hero Academia)', 'Nedzu (My Hero Academia)', 'Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Shirakumo Oboro', 'Kayama Nemuri | Midnight', 'Shinsou Hitoshi', 'Kaminari Denki']",38633,2220,23 Mar 2023
The Long Good-Bye,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Dabi | Todoroki Touya/Reader'],['Dabi | Todoroki Touya'],367,18,23 Mar 2023
Call Me Later,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), Tokyo Ghoul']",[],"['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Kirishima Touka', 'Kaneki Ken | Sasaki Haise', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Nedzu (My Hero Academia)']",289,24,23 Mar 2023
The Ways Of War,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Midoriya Izuku/Todoroki Shouto'],"['Midoriya Izuku', 'Todoroki Shouto', 'Kaminari Denki', 'Class 1-A (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko']",349,21,23 Mar 2023
Izuku and His Recordings,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Nedzu']","['Yagi Toshinori | All Might', 'Nedzu (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Midoriya Izuku', 'Bakugou Katsuki', 'Yamada Hizashi | Present Mic']",13863,529,23 Mar 2023
feral?,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Bakugou Katsuki & Midoriya Izuku', 'Dabi | Todoroki Touya & Midoriya Izuku', 'Midoriya Izuku & Toga Himiko', 'Midoriya Izuku & Shigaraki Tomura | Shimura Tenko']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Bakugou Katsuki', 'Dabi | Todoroki Touya', 'Toga Himiko', 'Shigaraki Tomura | Shimura Tenko', 'Tsukauchi Naomasa']",6103,468,23 Mar 2023
Todoroki-Midoriya,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Masaru/Bakugou Mitsuki', 'Todoroki Enji | Endeavor/Todoroki Rei', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic']","['Dabi | Todoroki Touya', 'Midoriya Inko', 'Bakugou Masaru', 'Bakugou Mitsuki', 'Original Female Character(s)', 'Todoroki Enji | Endeavor', 'Todoroki Rei', 'Todoroki Fuyumi', 'Todoroki Natsuo', 'Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead']",45,1,23 Mar 2023
𝕋𝕙𝕖 𝔻𝕣𝕖𝕒𝕞𝕖𝕣 𝕒𝕟𝕕 𝔸𝕣𝕦𝕟𝕒 || H. Shinsou x OC,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Shinsou/OC'],"['Aizawa Shouta | Eraserhead', 'Tokoyami Fumikage', 'Shinsou Hitoshi', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)']",106,6,21 Mar 2023
YandereSpace,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Reader', 'Bakugou Katsuki/Reader', 'Yagi Toshinori | All Might/Reader']","['Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Kirishima Eijirou', 'Midoriya Izuku', 'Dabi | Todoroki Touya', 'Sero Hanta', 'Ashido Mina', 'Takami Keigo | Hawks', 'Todoroki Enji | Endeavor', 'Yagi Toshinori | All Might']",33181,1396,21 Mar 2023
"Sleep, My Brother.",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Sensei | All For One & Yoichi | First One For All User'],"['Yoichi | First One For All User (My Hero Academia)', 'Sensei | All For One']",320,31,21 Mar 2023
UA's Guard Dog,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki & Midoriya Izuku', 'Midoriya Inko & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Nedzu', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako', 'Todoroki Shouto', 'Yagi Toshinori | All Might', 'Shinsou Hitoshi', 'Asui Tsuyu', 'Nedzu (My Hero Academia)', 'Bakugou Katsuki', 'Midoriya Inko', 'Sensei | All For One', 'Iida Tenya', 'Class 1-A (My Hero Academia)']",41095,2195,21 Mar 2023
