title,mixed fandom,ships,characters,hits,kudos,published
CHARM,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Dabi | Todoroki Touya/Reader', 'Aizawa Shouta | Eraserhead/Reader', 'Shigaraki Tomura | Shimura Tenko/Reader', 'Bakugou Katsuki/Reader', 'Midoriya Izuku/Reader', 'Shinsou Hitoshi/Reader', 'Todoroki Shouto/Reader', 'Takami Keigo | Hawks/Reader', 'Kaminari Denki/Reader', 'Monoma Neito/Reader', 'Class 1-A (My Hero Academia)/Reader']","['Dabi | Todoroki Touya', 'Aizawa Shouta | Eraserhead', 'Shigaraki Tomura | Shimura Tenko', 'Bakugou Katsuki', 'Midoriya Izuku', 'Shinsou Hitoshi', 'Todoroki Shouto', 'Yagi Toshinori | All Might', 'Uraraka Ochako', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'League of Villains (My Hero Academia)', 'Takami Keigo | Hawks', 'Kaminari Denki', 'Ashido Mina', 'Monoma Neito']",1028,44,21 Apr 2023
When Reason Fails,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku/Toga Himiko', 'Midoriya Izuku & Todoroki Shouto', 'Bakugou Katsuki & Todoroki Shouto', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Bakugou Katsuki/Kamiji Moe | Burnin', 'Bakugou Katsuki/Todoroki Fuyumi', ""It's like Kaguya-Sama Love is War but with more shouts"", 'Ashido Mina/Kirishima Eijirou', 'Intelli Saiko/Todoroki Shouto', 'Todoroki Shouto/Yaoyorozu Momo', 'Intelli Saiko/Yaoyorozu Momo', 'well that certainly happened', 'Tsuyu Asui/Headpats']","['Bakugou Katsuki', 'Midoriya Izuku', 'Toga Himiko', 'Todoroki Shouto', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako', 'Shiozaki Ibara', 'Tokage Setsuna', 'Ashido Mina', 'Hatsume Mei']",112019,1689,21 Apr 2023
"Farewell,Neverland | Shinso Hitoshi x Y/N",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Shinsou Hitoshi/Reader', 'Jirou Kyouka/Yaoyorozu Momo', 'Ashido Mina & Bakugou Katsuki & Jirou Kyouka & Kaminari Denki & Kirishima Eijirou & Sero Hanta', 'Asui Tsuyu & Iida Tenya & Midoriya Izuku & Todoroki Shouto & Uraraka Ochako', 'Dabi | Todoroki Touya & Toga Himiko', 'Dabi | Todoroki Touya & Reader', 'Kurogiri (My Hero Academia)/Reader']","['Reader', 'Shinsou Hitoshi', 'Toga Himiko', 'Dabi | Todoroki Touya', 'Kurogiri (My Hero Academia)', 'Bubaigawara Jin | Twice', 'Asui Tsuyu', 'Class 1-A (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko']",66,3,21 Apr 2023
House of Ghosts,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Sensei | All For One & Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya & Shigaraki Tomura | Shimura Tenko', 'Iguchi Shuuichi | Spinner & Shigaraki Tomura | Shimura Tenko', 'Bubaigawara Jin | Twice & Shigaraki Tomura | Shimura Tenko', 'League of Villains & Shigaraki Tomura | Shimura Tenko', 'Midoriya Inko/Sensei | All For One', 'Shimura Nana & Yagi Toshinori | All Might', 'Midoriya Inko & Yagi Toshinori | All Might', 'Midoriya Izuku & Shigaraki Tomura | Shimura Tenko', 'Bubaigawara Jin | Twice & Okuta Kagerou | Giran', 'League of Villains & Okuta Kagerou | Giran', 'Midoriya Izuku & Sensei | All For One', 'Other Relationship Tags to Be Added', 'Kurogiri & Shirakumo Oboro']","['Shigaraki Tomura | Shimura Tenko', 'Sensei | All For One', 'Dabi | Todoroki Touya', 'Okuta Kagerou | Giran', 'Bubaigawara Jin | Twice', 'Yagi Toshinori | All Might', 'Shimura Nana', 'Midoriya Izuku', 'Midoriya Inko', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Sako Atsuhiro | Mr. Compress', 'Hikiishi Kenji | Magne', 'Yoichi | First One For All User (My Hero Academia)', 'Kurogiri (My Hero Academia)']",7421,185,21 Apr 2023
Dreamscape,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Kirishima Eijirou', 'Kaminari Denki', 'Shinsou Hitoshi', 'Ashido Mina', 'Yoarashi Inasa', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Yaoyorozu Momo', 'Kayama Nemuri | Midnight', 'Yagi Toshinori | All Might', 'Iida Tenya', 'Uraraka Ochako', 'Sero Hanta', 'Monoma Neito']",28163,1400,21 Apr 2023
Moon Princess,"['Fandoms:\nHarry Potter - Fandom, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), 더 게이머 | The Gamer (Webcomic)']",['Harry Potter/Takami Keigo | Hawks'],"['Harry Potter', 'Black Family - Character', 'Moore Family', 'Sirius Black', 'Arcturus Black', 'Midoriya Izuku', 'Takami Keigo', 'Midoriya Inko', 'Midoriya Hisashi', 'OCs']",142,9,21 Apr 2023
stay with me (don't leave me alone),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Todoroki Shouto'],"['Todoroki Shouto', 'Bakugou Katsuki']",0,,21 Apr 2023
Explosión Verde (Bakudeku) (Katsuki Bakugo x Izuku Midoriya),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Dabi | Todoroki Touya & Todoroki Shouto', 'Dabi | Todoroki Touya/Takami Keigo | Hawks', 'Kaminari Denki/Kirishima Eijirou']","['Midoriya Izuku', 'Bakugou Katsuki']",2785,84,21 Apr 2023
Izuku's life as Usagi,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku/Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic', 'Midoriya Izuku & Nedzu', 'Kaminari Denki & Shinsou Hitoshi', 'Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki/Kirishima Eijirou']","['Midoriya Izuku', 'Shinsou Hitoshi', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Kaminari Denki', 'Kirishima Eijirou', 'Class 1-A (My Hero Academia)', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Uraraka Ochako']",857,15,21 Apr 2023
The Snapping Thread,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead & Todoroki Shouto', 'Class 1-A & Todoroki Shouto', 'Eri & Todoroki Shouto', 'Todoroki Natsuo & Todoroki Shouto', 'Bakugou Katsuki & Todoroki Shouto']","['Aizawa Shouta | Eraserhead', 'Todoroki Shouto', 'Class 1-A (My Hero Academia)', 'Eri (My Hero Academia)', 'Todoroki Natsuo', 'Todoroki Fuyumi']",10848,743,21 Apr 2023
Crimson Tears,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Kirishima Eijirou/Midoriya Izuku', 'Bakugou Katsuki/Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Kirishima Eijirou']",0,,21 Apr 2023
Dont make silly bets Kachaan,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki/Kaminari Denki', 'Ashido Mina/Bakugou Katsuki', 'Bakugou Katsuki/Yaoyorozu Momo', 'Bakugou Katsuki/Todoroki Shouto', 'Bakugou Katsuki/Everyone']","['Bakugou Katsuki', 'Kirishima Eijirou', 'Kaminari Denki', 'Yaoyorozu Momo', 'Ashido Mina', 'Midoriya Izuku', 'Class 1-A (My Hero Academia)']",1714,38,21 Apr 2023
When We Meet Again,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku/Uraraka Ochako', 'Bakugou Katsuki/Utsushimi Camie', 'Todoroki Shouto/Yaoyorozu Momo', 'Ashido Mina/Kirishima Eijirou', 'Jirou Kyouka/Kaminari Denki', 'Hatsume Mei/Iida Tenya', 'Takami Keigo | Hawks/Todoroki Fuyumi', 'Kendou Itsuka/Tetsutetsu Tetsutetsu', 'Hagakure Tooru/Ojiro Mashirao']","['Midoriya Izuku', 'Uraraka Ochako', 'Bakugou Katsuki', 'Todoroki Shouto', 'Yaoyorozu Momo', 'Ashido Mina', 'Kirishima Eijirou', 'Kaminari Denki', 'Jirou Kyouka', 'Original Characters', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Iida Tenya', 'Hatsume Mei', 'Sero Hanta', 'Asui Tsuyu', 'Tokoyami Fumikage', 'Eri (My Hero Academia)', 'Midoriya Inko', 'Todoroki Enji | Endeavor', 'Todoroki Fuyumi', 'Takami Keigo | Hawks', 'Usagiyama Rumi | Miruko', ""Yaoyorozu Momo's Parents"", ""Uraraka Ochako's Parents"", 'Satou Rikidou', 'Shouji Mezou', 'Hagakure Tooru', 'Ojiro Mashirao', 'Shinsou Hitoshi', 'Mineta Minoru', 'Kendou Itsuka', 'Tetsutetsu Tetsutetsu', 'Tokage Setsuna', 'Monoma Neito']",21265,357,21 Apr 2023
Shadow Healer,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['OC x Midoriya izuku', 'OC x Aizawa Shouta', 'OC x Shigaraki Tomura']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Shigaraki Tomura | Shimura Tenko', 'OC - Character']",72,4,21 Apr 2023
Devoted,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Aizawa Shouta | Eraserhead/Shinsou Hitoshi'],"['Aizawa Shouta | Eraserhead', 'Shinsou Hitoshi']",0,,21 Apr 2023
Ablaze,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya/Original Female Character(s)', 'Dabi | Todoroki Touya/Original Character(s)', 'Aizawa Shouta | Eraserhead/Original Female Character(s)', 'Kurono Hari | Chronostasis/Original Female Character(s)', 'Dabi | Todoroki Touya/Reader', 'Aizawa Shouta | Eraserhead/Reader', 'Shigaraki Tomura | Shimura Tenko/Reader', 'Shigaraki Tomura | Shimura Tenko/Original Female Character(s)', 'Shigaraki Tomura | Shimura Tenko/Original Character(s)']","['Dabi | Todoroki Touya', 'Aizawa Shouta | Eraserhead', 'Kurono Hari | Chronostasis', 'Chisaki Kai | Overhaul', 'Eri (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko', 'Kurogiri (My Hero Academia)', 'Toga Himiko', 'Bubaigawara Jin | Twice', 'Iguchi Shuuichi | Spinner', 'Sako Atsuhiro | Mr. Compress', 'Yamada Hizashi | Present Mic']",14490,293,21 Apr 2023
Blazing Summer,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Sero Hanta/Todoroki Shouto', 'Kaminari Denki & Sero Hanta', 'Dabi | Todoroki Touya & Todoroki Shouto']","['Todoroki Shouto', 'Sero Hanta', 'Kaminari Denki', 'Todoroki Enji | Endeavor', 'Dabi | Todoroki Touya', 'Todoroki Natsuo', 'Todoroki Fuyumi', 'Todoroki Rei']",83,15,21 Apr 2023
Like Flickering Flames,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Dabi | Todoroki Touya/Takami Keigo | Hawks'],"['Dabi | Todoroki Touya', 'Takami Keigo | Hawks', 'Todoroki Shouto', 'Todoroki Enji | Endeavor', 'Shigaraki Tomura | Shimura Tenko', 'Toga Himiko', 'Todoroki Family (My Hero Academia)']",376,55,21 Apr 2023
In the middle of it,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko'],"['Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya', 'Toga Himiko', 'Hikiishi Kenji | Magne', 'League of Villains (My Hero Academia)']",6,,21 Apr 2023
All That's Left,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],[],"['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Sasaki Mirai | Sir Nighteye', 'Nedzu (My Hero Academia)', 'Shuuzenji Chiyo | Recovery Girl', 'Tsukauchi Naomasa', 'Fukukado Emi | Ms. Joke']",8720,320,21 Apr 2023
Chaos And Group Chats,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Takami Keigo | Hawks', 'Midoriya Izuku & Tsukauchi Naomasa', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead/Tsukauchi Naomasa', 'Tsukauchi Naomasa/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead/Tsukauchi Naomasa/Yamada Hizashi | Present Mic', 'Midoriya Izuku & Nedzu', 'Fukukado Emi | Ms. Joke/Kayama Nemuri | Midnight', 'Midoriya Izuku & Monoma Neito', 'Ashido Mina & Midoriya Izuku']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Tsukauchi Naomasa', 'Nedzu (My Hero Academia)', 'Todoroki Enji | Endeavor', 'Snipe (My Hero Academia)', 'Kayama Nemuri | Midnight', 'Iida Tensei | Ingenium', 'Takami Keigo | Hawks', 'Tamakawa Sansa', 'Original Male Character(s)', 'Fukukado Emi | Ms. Joke', 'Usagiyama Rumi | Miruko', 'Hakamata Tsunagu | Best Jeanist', 'Dabi | Todoroki Touya', 'Ashido Mina', 'Monoma Neito']",75817,3935,20 Apr 2023
Friction Burn,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Shinsou Hitoshi'],"['Shinsou Hitoshi', 'Bakugou Katsuki']",193,40,20 Apr 2023
Just Hold Tight,"['Fandoms:\nMarvel Cinematic Universe, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']",['Shigaraki Tomura | Shimura Tenko/ Venom Symbiote'],"['Shigaraki Tomura | Shimura Tenko', 'Venom Symbiote (Marvel)']",15,,20 Apr 2023
Yuuei Company,"['Fandoms:\nParahumans Series - Wildbow, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']",['Shimura Nana/?'],"['Shimura Nana', 'Keith | Legend', 'Rebecca Costa-Brown | Alexandria', 'Dragon (Parahumans)', 'David | Eidolon', 'Behemoth (Parahumans)', 'Director James Tagg']",552,20,20 Apr 2023
Izuku Dislikes Quests,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Inko & Midoriya Izuku', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Sensei | All For One', 'Bakugou Katsuki & Midoriya Izuku', 'Izuku Midoriya & his quirk']","['Midoriya Izuku', ""Midoriya Izuku's Family"", 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'OCs', ""Izuku Midoriya's quirk"", 'OFA quirk ghosts']",7445,365,20 Apr 2023
taste.,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Reader'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Kirishima Eijirou', 'Todoroki Shouto', 'Reader', 'Ashido Mina', 'Sero Hanta']",931,56,20 Apr 2023
Truly Villainous,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), South Park']",[],[],17,,20 Apr 2023
Just the wind,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Midoriya Izuku & Shinsou Hitoshi'],"['Midoriya Hisashi', 'Midoriya Izuku', ""Midoriya Izuku's Family"", 'Shinsou Hitoshi', 'Original Characters']",31,5,20 Apr 2023
Phoenix,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Original Female Character(s)', 'Mentioned past Logan/Original Female Character(s)', 'Minor or Background Relationship(s)']","['Aizawa Shouta | Eraserhead', 'Original Female Character(s)', 'Nezu']",21012,607,20 Apr 2023
Safer When I'm By Your Side,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku']",446,59,20 Apr 2023
I'd Burn the World for You,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Reader'],"['Bakugou Katsuki', 'Kirishima Eijirou', 'Kaminari Denki', 'Sero Hanta', 'Ashido Mina', 'Asui Tsuyu', 'Iida Tenya', 'Uraraka Ochako', 'Midoriya Izuku', 'Hagakure Tooru', 'Mineta Minoru', 'Yaoyorozu Momo', 'Tokoyami Fumikage', 'Yagi Toshinori | All Might', 'Takami Keigo | Hawks', 'Aizawa Shouta | Eraserhead', 'Todoroki Enji | Endeavor', 'Hakamata Tsunagu | Best Jeanist', 'Original Characters']",15080,587,20 Apr 2023
Royal Flush,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki & Uraraka Ochako', 'Bakugou Katsuki/Uraraka Ochako', 'Ashido Mina/Kirishima Eijirou', 'Ashido Mina & Kirishima Eijirou']","['Bakugou Katsuki', 'Uraraka Ochako', 'Monoma Neito', ""Bakugou Katsuki's Parents"", 'Ashido Mina', 'Toga Himiko', 'Shigaraki Tomura | Shimura Tenko']",632,32,20 Apr 2023
My Dead Mount Academia,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), Dead Mount Death Play (Manga)']",[],"['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Toga Himiko', 'Yamada Hizashi | Present Mic', 'Nedzu (My Hero Academia)', 'Akatani ""Yamikumo"" Mikumo', 'Sensei | All For One']",47,3,20 Apr 2023
Cake,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku']",126,17,20 Apr 2023
The Fruit Thereof,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Class 1-A & Midoriya Izuku', 'Bakugou Katsuki/Midoriya Izuku']","['Midoriya Izuku', 'Class 1-A (My Hero Academia)', 'Shinsou Hitoshi', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Uraraka Ochako', 'Asui Tsuyu', 'Yaoyorozu Momo', 'Kirishima Eijirou', 'Aizawa Shouta | Eraserhead', 'Kaminari Denki', 'Todoroki Shouto']",851,62,20 Apr 2023
Middle Finger,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku & Todoroki Shouto', 'Kaminari Denki & Midoriya Izuku', 'Ashido Mina & Midoriya Izuku', 'Jirou Kyouka & Midoriya Izuku', 'Kirishima Eijirou & Midoriya Izuku', 'Midoriya Izuku & Sero Hanta', 'Aizawa Shouta | Eraserhead & Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Kirishima Eijirou', 'Jirou Kyouka', 'Ashido Mina', 'Aizawa Shouta | Eraserhead', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Asui Tsuyu', 'Class 1-A (My Hero Academia)']",851,79,20 Apr 2023
Singer,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), 방탄소년단 | Bangtan Boys | BTS']",['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Kirishima Eijirou', 'Kim Sejin (BTS)', 'Aizawa Shouta | Eraserhead']",656,16,20 Apr 2023
My Hero Academia: Ultra Achievement - Beginnings Saga,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Everyone', 'Class 1-A & Midoriya Izuku', 'Midoriya Inko & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic', 'Iida Tenya & Midoriya Izuku', 'Midoriya Izuku & Shimura Nana', 'Shimura Nana & Yagi Toshinori | All Might', 'Ashido Mina/Kirishima Eijirou', 'Iida Tenya/Kendou Itsuka']","['Midoriya Izuku', 'Iida Tenya', 'Uraraka Ochako', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Nedzu (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Kayama Nemuri | Midnight', 'Yamada Hizashi | Present Mic', 'Gran Torino (My Hero Academia)', 'Maijima Higari | Power Loader', 'Bakugou Mitsuki', 'Sensei | All For One', 'Bakugou Katsuki', 'Ashido Mina', 'Kirishima Eijirou', 'Yaoyorozu Momo', 'Todoroki Shouto', 'Asui Tsuyu', 'Tokoyami Fumikage', 'Shuuzenji Chiyo | Recovery Girl', 'Shigaraki Tomura | Shimura Tenko', 'Iida Tensei | Ingenium', 'Sakamata Kuugo | Gang Orca', 'Kamihara Shinya | Edgeshot', 'Todoroki Enji | Endeavor', 'Class 1-A (My Hero Academia)', 'Shimura Nana', 'Shinsou Hitoshi', 'Kendou Itsuka', 'Takami Keigo | Hawks', 'Usagiyama Rumi | Miruko', 'Tatsuma Ryuuko | Ryuukyuu', 'Hadou Nejire', 'Toogata Mirio', 'Fukukado Emi | Ms. Joke']",224817,2034,20 Apr 2023
Genetic Anomaly,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Original Male Character(s)', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Bakugou Katsuki & Midoriya Izuku', 'Class 1-A & Midoriya Izuku', 'Bakugou Katsuki/Midoriya Izuku', 'Todoroki Shouto & Original Male Character(s)', 'Bakugou Katsuki & Original Male Character(s)', 'Todoroki Shouto/Original Male Character(s)']","['Midoriya Izuku', 'Bakugou Katsuki', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Tsukauchi Naomasa', 'Original Male Character(s)', 'Sensei | All For One', 'Yoichi | First One For All User (My Hero Academia)', 'Shimura Nana', 'Aizawa Shouta | Eraserhead', 'Original Non-Binary Character', 'Second One For All User (My Hero Academia)', 'Banjou Daigorou | Lariat']",53794,851,20 Apr 2023
Fate and the Unbeliever,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Kirishima Eijirou', 'Kaminari Denki', 'Shinsou Hitoshi', 'Midoriya Izuku', 'Utsushimi Camie', 'Ashido Mina']",16,1,20 Apr 2023
Aladdin -Shindeku AU-,"['Fandoms:\nAladdin (2019), 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']","['Hitoshi Shinsou/Izuku Midoriya', 'Shouta Aizawa/Hizashi Yamada', 'Hanta Sero/Shouto Todoroki', 'Momo Yaoyorozu/Kyouka Jirou']","['Hitoshi Shinsou', 'Izuku Midoriya', 'Kai Chisaki (Overhaul)', 'Shouta Aizawa (Eraserhead)', 'Hizashi Yamada (Present Mic)', 'Shouto Todoroki', 'Hanta Sero', 'Momo Yaoyorozu', 'Kyouka Jirou']",30,1,19 Apr 2023
OUR INNOCENT PROMISES; HOW LONG SHALL THEY LAST?,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime), 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga)']","['Izumi Kouta & Midoriya Izuku', 'Midoriya Izuku & Shinazugawa Sanemi', 'Izumi Kouta & Shinazugawa Genya']","['Izumi Kouta', ""Izumi Kouta's Parents | Water Hose"", 'Midoriya Izuku', 'Shinazugawa Sanemi', 'Shinazugawa Genya', 'Shinazugawa Family (Kimetsu no Yaiba)']",60,5,19 Apr 2023
Living While Dying,"['Fandoms:\n文豪ストレイドッグス | Bungou Stray Dogs, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia']","['Dazai Osamu & Midoriya Izuku', 'Midoriya Izuku & Mori Ogai', 'Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs)']","['Dazai Osamu (Bungou Stray Dogs)', 'Midoriya Izuku', 'Mori Ougai (Bungou Stray Dogs)', 'Nakahara Chuuya (Bungou Stray Dogs)', 'Other Character Tags to Be Added', 'Bakugou Katsuki', 'Oda Sakunosuke (Bungou Stray Dogs)']",8219,847,19 Apr 2023
Shine Through,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), Hedone High (Webcomic)']","['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki/Midoriya Izuku/Original Male Character(s)', 'Bakugou Katsuki & Midoriya Izuku']","['Bakugou Katsuki', 'Midoriya Izuku', 'Original Characters', 'Class 1-A (My Hero Academia)', 'Inui Ryou | Hound Dog']",129,4,19 Apr 2023
Sachiko's Ties,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Uraraka Ochako', 'Bakugou Katsuki & Uraraka Ochako', 'Ashido Mina/Kirishima Eijirou']","['Bakugou Katsuki', 'Uraraka Ochako', ""Uraraka Ochako's Family"", 'Original Child Character(s)']",7029,524,19 Apr 2023
Futanari Askbox Fic,"[""Fandoms:\nFairy Tail, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime), 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid, Naruto, Persona Series, Guilty Gear (Video Games), Dragon Ball, Super Smash Brothers, One Piece (Anime & Manga), この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types, Chainsaw Man (Manga), SPY x FAMILY (Manga), Pocket Monsters | Pokemon - All Media Types""]",[],[],6076,37,19 Apr 2023
