ships,dates
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Mar 2023
Bakugou Katsuki/Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,31 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,30 Mar 2023
Midoriya Izuku & Tsukauchi Naomasa,30 Mar 2023
Bakugou Katsuki & Kirishima Eijirou,30 Mar 2023
Hatsume Mei & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
Bakugou Katsuki & Bakugou Masaru & Bakugou Mitsuki,01 Apr 2023
Bakugou Masaru/Bakugou Mitsuki,01 Apr 2023
Bakugou Mitsuki & Midoriya Izuku,01 Apr 2023
Midoriya Izuku/Shinsou Hitoshi,01 Apr 2023
Shigaraki Tomura | Shimura Tenko/Todoroki Shouto,01 Apr 2023
Other Relationship Tags to Be Added,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,01 Apr 2023
Midoriya Izuku & Tsukauchi Naomasa,01 Apr 2023
Midoriya Izuku & Original Character(s),01 Apr 2023
Aizawa Shouta | Eraserhead & Original Character(s),01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,29 Mar 2023
Aizawa Shouta | Eraserhead & Chisaki Kai | Overhaul,29 Mar 2023
Aizawa Shouta | Eraserhead & Sensei | All For One,29 Mar 2023
Aizawa Shouta | Eraserhead & Shigaraki Tomura | Shimura Tenko,29 Mar 2023
Akaguro Chizome | Stain & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead & Akaguro Chizome | Stain,29 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Yagi Toshinori | All Might,31 Mar 2023
Hitoshi Shinso & Izuku Midoriya,31 Mar 2023
Kaminari Denki/Shinsou Hitoshi,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Bakugou Katsuki/Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,01 Apr 2023
League of Villains & Midoriya Izuku,01 Apr 2023
Bakugou Katsuki/Shinsou Hitoshi,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,30 Mar 2023
Midoriya Izuku/Shinsou Hitoshi,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,01 Apr 2023
Aizawa Shouta | Eraserhead & Yagi Toshinori | All Might,01 Apr 2023
Midoriya Izuku & Nedzu,01 Apr 2023
Aizawa Shouta | Eraserhead/Bullying All Might,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Bakugou Katsuki & Midoriya Izuku,31 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,31 Mar 2023
Midoriya Inko & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,31 Mar 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,31 Mar 2023
Dabi | Todoroki Touya & Midoriya Izuku,31 Mar 2023
Midoriya Izuku & Original Character(s),31 Mar 2023
Midoriya Izuku & Tsukauchi Naomasa,31 Mar 2023
Class 1-A & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,29 Mar 2023
Class 1-A & Midoriya Izuku,29 Mar 2023
Midoriya Inko & Midoriya Izuku,29 Mar 2023
Midoriya Izuku & Yagi Toshinori | All Might,29 Mar 2023
Eri & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead & Eri,29 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,29 Mar 2023
Class 1-A & Midoriya Izuku,29 Mar 2023
Midoriya Izuku & Yagi Toshinori | All Might,29 Mar 2023
No Romantic Relationship(s),29 Mar 2023
Midoriya Izuku & Tokoyami Fumikage,29 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,29 Mar 2023
Midoriya Hisashi & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,28 Mar 2023
Class 1-A & Midoriya Izuku,28 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,28 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,28 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku & Yamada Hizashi | Present Mic,28 Mar 2023
Midoriya Inko & Midoriya Izuku,28 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Dabi | Todoroki Touya & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Mar 2023
Iida Tenya & Midoriya Izuku & Uraraka Ochako,30 Mar 2023
Bakugou Katsuki & Midoriya Izuku,30 Mar 2023
Midoriya Izuku & Uraraka Ochako,30 Mar 2023
Class 1-A & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Midoriya Inko & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Midoriya Inko & Midoriya Izuku,02 Apr 2023
Tamakawa Sansa & Tsukauchi Naomasa,02 Apr 2023
